politician,politicianDescription,image,politicianLabel,date_of_birth
http://www.wikidata.org/entity/Q3291909,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-H%C3%A9l%C3%A8ne%20des%20Esgaulx%20-%20Sarkozy%27s%20meeting%20in%20Toulouse%20for%20the%202007%20French%20presidential%20election%200085%202007-04-12.jpg,Marie-Hélène des Esgaulx,1950-05-26T00:00:00Z
http://www.wikidata.org/entity/Q3292063,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Villemanoche-89-inauguration-%C3%A9cole-10.jpg,Marie-Louise Fort,1950-12-03T00:00:00Z
http://www.wikidata.org/entity/Q3292101,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Luce%20Penchard.jpg,Marie-Luce Penchard,1959-02-14T00:00:00Z
http://www.wikidata.org/entity/Q3292159,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-No%C3%ABlle%20Battistel.jpg,Marie-Noëlle Battistel,1956-08-20T00:00:00Z
http://www.wikidata.org/entity/Q3292773,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20R%C3%A9calde%20-%202015%20%28cropped%29.jpg,Marie Récalde,1965-03-12T00:00:00Z
http://www.wikidata.org/entity/Q3295242,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/2015-01-27%2020-59-57%20meeting-ps-audincourt.jpg,Martial Bourquin,1952-07-23T00:00:00Z
http://www.wikidata.org/entity/Q3295273,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Martial%20Saddier.JPG,Martial Saddier,1969-10-15T00:00:00Z
http://www.wikidata.org/entity/Q3295753,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/DeputeXIVeLegVeRep-Martine%20Carrillon-Couvreur.jpg,Martine Carrillon-Couvreur,1948-03-21T00:00:00Z
http://www.wikidata.org/entity/Q3295803,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Martine%20Ligni%C3%A8res-Cassou.jpg,Martine Lignières-Cassou,1952-02-22T00:00:00Z
http://www.wikidata.org/entity/Q3295812,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/DeputeXIVeLegVeRep-Martine%20Martinel.jpg,Martine Martinel,1953-09-26T00:00:00Z
http://www.wikidata.org/entity/Q3295826,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Portait%20Martine%20PINVILLE.jpg,Martine Pinville,1958-10-23T00:00:00Z
http://www.wikidata.org/entity/Q3298752,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Hanotinoct08.jpg,Mathieu Hanotin,1978-08-22T00:00:00Z
http://www.wikidata.org/entity/Q3299831,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Matthias%20Fekl%20par%20Claude%20Truong-Ngoc%20f%C3%A9vrier%202015.jpg,Matthias Fekl,1977-10-04T00:00:00Z
http://www.wikidata.org/entity/Q3299928,"French entrepreneur, politician and private banker",http://commons.wikimedia.org/wiki/Special:FilePath/Matthieu%20Pigasse.jpg,Matthieu Pigasse,1968-05-25T00:00:00Z
http://www.wikidata.org/entity/Q3300119,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Maud.JPG,Maud Olivier,1953-02-20T00:00:00Z
http://www.wikidata.org/entity/Q3301504,French economist and politician,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20de%20Maurice%20Vincent.jpg,Maurice Vincent,1955-09-20T00:00:00Z
http://www.wikidata.org/entity/Q3302710,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Maxime%20Verner%20CCI.jpg,Maxime Verner,1989-09-11T00:00:00Z
http://www.wikidata.org/entity/Q3302720,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Maxime-des-gayets.jpg,Maxime des Gayets,1978-05-25T00:00:00Z
http://www.wikidata.org/entity/Q3309003,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Berson.jpg,Michel Berson,1945-04-21T00:00:00Z
http://www.wikidata.org/entity/Q3309143,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Buillard%20March%C3%A9%20Papeete.JPG,Michel Buillard,1950-09-09T00:00:00Z
http://www.wikidata.org/entity/Q3309410,,http://commons.wikimedia.org/wiki/Special:FilePath/Pr%20Michel%20Debout.jpg,Michel Debout,1945-07-10T00:00:00Z
http://www.wikidata.org/entity/Q3309485,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Diefenbacher.jpg,Michel Diefenbacher,1947-07-15T00:00:00Z
http://www.wikidata.org/entity/Q3309604,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Fanget%20%283%29.jpg,Michel Fanget,1950-05-03T00:00:00Z
http://www.wikidata.org/entity/Q3309639,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Fontaine.jpg,Michel Fontaine,1952-05-06T00:00:00Z
http://www.wikidata.org/entity/Q3309959,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20ISSINDOU%2C%20D%C3%A9put%C3%A9%20de%20la%202%C3%A8me%20circonscription%20de%20l%27Is%C3%A8re%20depuis%202007.JPG,Michel Issindou,1952-07-12T00:00:00Z
http://www.wikidata.org/entity/Q3310197,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michel-liebgott-photo-archives-rl%20copie.jpg,Michel Liebgott,1958-02-15T00:00:00Z
http://www.wikidata.org/entity/Q3310357,politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michelmeurdesoif.jpg,Michel Meurdesoif,1948-08-19T00:00:00Z
http://www.wikidata.org/entity/Q3310361,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Moine%2C%20Maire%20d%27Aubusson.jpg,Michel Moine,1962-04-13T00:00:00Z
http://www.wikidata.org/entity/Q3310446,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/MICHEL-MENARD-189%20-%20Copie.jpg,Michel Ménard,1961-05-20T00:00:00Z
http://www.wikidata.org/entity/Q3310625,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/DeputeXIVeLegVeRep-Michel%20Pouzol2.jpg,Michel Pouzol,1962-07-05T00:00:00Z
http://www.wikidata.org/entity/Q3310764,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Roum%C3%A9goux.jpg,Michel Roumégoux,1948-01-10T00:00:00Z
http://www.wikidata.org/entity/Q3310830,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20SAVIN.jpg,Michel Savin,1958-11-25T00:00:00Z
http://www.wikidata.org/entity/Q3310983,French rugby union player,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Tonon.jpg,Michel Tonon,1957-10-16T00:00:00Z
http://www.wikidata.org/entity/Q3311073,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michel-vialay-01.jpg,Michel Vialay,1960-01-06T00:00:00Z
